Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,processed_description,exercise_type,muscle_group,equipment,difficulty,key_fitness_terms
11,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,8.3,Average,bench barbell roll challenging exercise targeting abdominals similar using ab roller using barbell allows wider grip placing knees bench rather floor makes move difficult increasing challenge upper body,Strength,Abdominals,Barbell,Beginner,"['bench', 'barbell', 'exercise', 'targeting', 'using', 'using', 'barbell', 'grip', 'bench', 'floor', 'move', 'upper', 'body']"
12,Barbell Side Bend,,Strength,Abdominals,Barbell,Beginner,7.0,Average,,Strength,Abdominals,Barbell,Beginner,[]
13,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,seated bar twist core exercise meant strengthen obliques often performed high reps relatively light weight empty barbell lightweight fixed weight bar even pvc pipe performed workout end workout outside gym build core strength resiliency,Strength,Abdominals,Barbell,Intermediate,"['seated', 'bar', 'core', 'exercise', 'performed', 'high', 'reps', 'weight', 'barbell', 'weight', 'bar', 'performed', 'workout', 'workout', 'build', 'core', 'strength']"
14,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,Barbell,Intermediate,,,single arm landmine pull press explosive rotational movement using barbell anchored landmine device combines pull floor rotation finishes press usually performed low reps per set emphasis speed form moving heavy weight,Strength,Abdominals,Barbell,Intermediate,"['single', 'arm', 'pull', 'press', 'explosive', 'movement', 'using', 'barbell', 'pull', 'floor', 'press', 'performed', 'low', 'reps', 'set', 'weight']"
15,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,barbell roll abdominal exercise utilizes barbell place ab roller best performed barbell rotating collars considered difficult ab roller variations many lifters may able perform single rep first perform reps rewarded seriously strong core,Strength,Abdominals,Barbell,Intermediate,"['barbell', 'abdominal', 'exercise', 'barbell', 'performed', 'barbell', 'many', 'single', 'rep', 'reps', 'core']"
16,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,,,barbell floor wiper core exercise barbell held locked position floor press hips legs rotated side side targets oblique muscles lateral abdomen also seriously challenging deep core rectus abdominis six pack muscles,Strength,Abdominals,Barbell,Intermediate,"['barbell', 'floor', 'core', 'exercise', 'barbell', 'position', 'floor', 'press', 'legs', 'side', 'side', 'targets', 'muscles', 'core', 'rectus', 'pack', 'muscles']"
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,,,barbell roll abdominal exercise utilizes barbell place ab roller best performed barbell rotating collars considered difficult ab roller variations many lifters may able perform single rep first perform reps rewarded seriously strong core,Strength,Abdominals,Barbell,Intermediate,"['barbell', 'abdominal', 'exercise', 'barbell', 'performed', 'barbell', 'many', 'single', 'rep', 'reps', 'core']"
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,,,decline plate sit weighted core exercise works rectus abdominis six pack muscles well deep core muscles weighted sit variations usually performed moderate high reps 8 12 reps per set part core focused portion workout,Strength,Abdominals,Barbell,Intermediate,"['core', 'exercise', 'rectus', 'pack', 'muscles', 'core', 'muscles', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'part', 'core', 'focused', 'portion', 'workout']"
19,KV Barbell Hip Thrust,,Strength,Abdominals,Barbell,Intermediate,,,,Strength,Abdominals,Barbell,Intermediate,[]
20,Advanced Kettlebell Windmill,,Strength,Abdominals,Kettlebells,Beginner,8.3,Average,,Strength,Abdominals,Kettlebells,Beginner,[]
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,single kettlebell windmill dynamic kettlebell exercise emphasizing core strength shoulder hip mobility stability often used functional warm multi directional strength work work well metcon conditioning setting performed intense fatigue,Strength,Abdominals,Kettlebells,Intermediate,"['single', 'kettlebell', 'dynamic', 'kettlebell', 'exercise', 'core', 'strength', 'shoulder', 'used', 'warm', 'strength', 'work', 'work', 'conditioning', 'performed']"
22,Kettlebell Pass Between The Legs,,Strength,Abdominals,Kettlebells,Beginner,7.3,Average,,Strength,Abdominals,Kettlebells,Beginner,[]
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,,kettlebell 3 point leg extension dynamic core exercise performed around kettlebell short stationary object similar ways v reverse crunch targets obliques rectus abdominis six pack muscles performed reps time usually dedicated ab training part kettlebell bodyweight circuit workout,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'leg', 'dynamic', 'core', 'exercise', 'performed', 'kettlebell', 'crunch', 'targets', 'rectus', 'pack', 'muscles', 'performed', 'reps', 'time', 'training', 'part', 'kettlebell', 'bodyweight', 'circuit', 'workout']"
24,Double Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,,,burpee kettlebell advanced version popular conditioning exercise performing circuit already burpees kettlebell movements simple way provide novel stimulus muscles lower body create athletic style training,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'popular', 'conditioning', 'exercise', 'circuit', 'kettlebell', 'muscles', 'lower', 'body', 'training']"
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,,kettlebell toe touch difficult version highly popular abdominal movement usually done high reps simple addition weight makes toe touch far difficult providing different stimulus core training,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'popular', 'abdominal', 'movement', 'done', 'high', 'reps', 'weight', 'core', 'training']"
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,,,kettlebell swing popular lower body exercise emphasizing hamstrings glutes back muscles often used train explosive power aerobic cardiovascular conditioning circuit training accessory movement deadlift,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'popular', 'lower', 'body', 'exercise', 'hamstrings', 'glutes', 'muscles', 'used', 'explosive', 'power', 'conditioning', 'circuit', 'training', 'movement', 'deadlift']"
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,,,two way kettlebell swing exercise alternates chest height kettlebell swing sometimes called russian hardstyle swing overhead kettlebell swing sometimes called american swing swing variations work many muscles hamstrings glutes core weight must travel farther overhead swing slightly metabolically demanding works upper back shoulders combo performed time reps works especially well circuit style full body training perform overhead swing without lower back shoulder pain perform chest height swing,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'exercise', 'chest', 'kettlebell', 'kettlebell', 'work', 'many', 'muscles', 'hamstrings', 'glutes', 'core', 'weight', 'upper', 'shoulders', 'performed', 'time', 'reps', 'circuit', 'full', 'body', 'training', 'lower', 'shoulder', 'chest']"
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,,,kettlebell crab reach kettlebell pressing exercise lifter presses kettlebell overhead modified single arm bridge position simple addition weight makes reach far difficult challenging muscles back shoulders glutes core,Strength,Abdominals,Kettlebells,Intermediate,"['kettlebell', 'kettlebell', 'exercise', 'kettlebell', 'single', 'arm', 'position', 'weight', 'muscles', 'shoulders', 'glutes', 'core']"
30,Taylor Single-Arm Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
31,Holman Kettlebell Up to Elbow Down,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
32,FYR2 Double-Kettlebell Ski,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
33,FYR2 Kettlebell Hike,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
34,FYR2 Kettlebell Cross-Body Catch,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
35,FYR2 Kettlebell Duck Walk,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
36,FYR2 Kettlebell Get-Up Reach,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
37,FYR2 Kettlebell Juggle,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
38,FYR2 Squat-Clean-Alternating-Press Complex,,Strength,Abdominals,Kettlebells,Intermediate,,,,Strength,Abdominals,Kettlebells,Intermediate,[]
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,dumbbell v sit cross jab hybrid movement trains abdominal shoulder muscles simultaneously address multiple muscle groups time efficient muscle building circuit style workout also providing cardiovascular challenge,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'movement', 'abdominal', 'shoulder', 'muscles', 'muscle', 'time', 'muscle', 'building', 'circuit', 'workout']"
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,dumbbell spell caster exercise primarily targets abdominal muscles obliques however also works shoulders back hips legs demands muscles work together coordinated motion usually performed relatively light weights moderate high reps least 8 12 reps per side make sure use weight control,Strength,Abdominals,Dumbbell,Beginner,"['dumbbell', 'exercise', 'targets', 'abdominal', 'muscles', 'shoulders', 'legs', 'muscles', 'work', 'performed', 'moderate', 'high', 'reps', 'reps', 'side', 'weight']"
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,dumbbell side bend popular exercise targeting oblique muscles abdomen usually performed relatively high reps least 8 12 reps per set performed one side time alternating sides,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'side', 'popular', 'exercise', 'targeting', 'muscles', 'performed', 'high', 'reps', 'reps', 'set', 'performed', 'side', 'time']"
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell crunch difficult version highly popular abdominal movement simple addition weight makes crunch far difficult providing different stimulus core training,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'crunch', 'popular', 'abdominal', 'movement', 'weight', 'crunch', 'core', 'training']"
43,Dumbbell Fix Dumbbell Sprawl,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
44,Dumbbell Fix Alternating Renegade Row,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
45,Dumbbell Fix Dumbbell Mountain Climber,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
46,Dumbbell Fix Dumbbell Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
47,Dumbbell Fix Dumbbell Pull-Over,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
48,Dumbbell Fix Dumbbell Sit-Up,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
49,Dumbbell Fix Dumbbell Front Squat,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
50,Dumbbell Fix Full Man Maker,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell hold static exercise primarily targets obliques although also works shoulders upper back involves holding dumbbell air side plank position usually performed timed holds although performed dynamically reps plank dumbbell rotation,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'exercise', 'targets', 'shoulders', 'upper', 'involves', 'dumbbell', 'side', 'plank', 'position', 'performed', 'performed', 'reps', 'plank', 'dumbbell']"
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell hollow body floor press combines upper body strength core work one move,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'body', 'floor', 'press', 'upper', 'body', 'strength', 'core', 'work', 'move']"
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell crusher dumbbell complex combines squat dumbbell curl followed triceps press targets legs glutes biceps shoulders triceps single sequence making great way burn serious calories hit lot muscles short period time upper body movements determine amount weight effectively use,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'dumbbell', 'squat', 'dumbbell', 'curl', 'triceps', 'press', 'targets', 'legs', 'glutes', 'biceps', 'shoulders', 'triceps', 'single', 'muscles', 'time', 'upper', 'body', 'weight']"
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell crunch difficult version highly popular abdominal movement simple addition weight makes crunch far difficult providing different stimulus core training,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'crunch', 'popular', 'abdominal', 'movement', 'weight', 'crunch', 'core', 'training']"
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,,,single arm dumbbell crunch difficult version highly popular abdominal movement adding weight one side makes crunch far difficult rectus abdominis six pack muscles well obliques deep core muscles,Strength,Abdominals,Dumbbell,Intermediate,"['single', 'arm', 'dumbbell', 'crunch', 'popular', 'abdominal', 'movement', 'weight', 'side', 'crunch', 'rectus', 'pack', 'muscles', 'core', 'muscles']"
56,HM Alternating Dumbbell Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell straight legged hip raise works hips glutes requires teaches body control coordination,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'raise', 'glutes', 'body']"
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,,,seated leg tuck dumbbell ab exercise requiring bench dumbbell commonly performed high reps burnout end core workout,Strength,Abdominals,Dumbbell,Intermediate,"['seated', 'leg', 'dumbbell', 'exercise', 'bench', 'dumbbell', 'performed', 'high', 'reps', 'core', 'workout']"
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell v sit cross jab hybrid movement trains abdominal shoulder muscles simultaneously address multiple muscle groups time efficient muscle building circuit style workout also providing cardiovascular challenge,Strength,Abdominals,Dumbbell,Intermediate,"['dumbbell', 'movement', 'abdominal', 'shoulder', 'muscles', 'muscle', 'time', 'muscle', 'building', 'circuit', 'workout']"
60,30 Hanging Leg Raise With Dumbbell,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
61,Dumbbell Get-Up Sit-Up,,Strength,Abdominals,Dumbbell,Expert,,,,Strength,Abdominals,Dumbbell,Expert,[]
62,Holman Right Side Plank with Left Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
63,Holman Left Side Plank with Right Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
64,Holman Boat with Feet Push-Out and Overhead Press,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
65,Holman Hovering Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
66,Holman Weighted Seated Killer Abs to Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
67,Holman Straight Plank Dumbbell Reach-Under,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
69,Holman Weighted Burpee to Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
70,Holman Straight-Legged Boat Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
71,Holman Weighted Burpee to Side Delt Raise,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
72,Holman Heavy Double Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
73,Holman Heavy Double Split Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,,Strength,Abdominals,Dumbbell,Intermediate,[]
